date,session_id,source,medium,campaign,device,sessions,engaged,page_views,duration_seconds,event_name,key_event_click_whatsapp
2026-07-01,100001,instagram,social,(not set),mobile,1,1,1,66.0,no_key_event,0
2026-07-01,100033,instagram,social,(not set),mobile,1,0,1,3.0,no_key_event,0
2026-07-01,100034,google,cpc,Remarketing_Site,mobile,1,0,2,35.0,no_key_event,0
2026-07-01,100035,instagram,social,(not set),mobile,1,0,2,96.0,no_key_event,0
2026-07-01,100036,(direct),(none),(not set),mobile,1,1,1,60.0,no_key_event,0
2026-07-01,100037,google,organic,(not set),mobile,1,1,3,82.0,no_key_event,0
2026-07-01,100038,google,organic,(not set),mobile,1,0,3,35.0,no_key_event,0
2026-07-01,100039,google,organic,(not set),tablet,1,1,1,21.0,no_key_event,0
2026-07-01,100040,google,cpc,Pesquisa_Clareamento,mobile,1,0,2,3.0,no_key_event,0
2026-07-01,100041,instagram,social,(not set),tablet,1,0,1,23.0,no_key_event,0
2026-07-01,100042,facebook,cpc,FB_Implantes_Video,mobile,1,0,2,3.0,no_key_event,0
2026-07-01,100043,instagram,social,(not set),mobile,1,0,1,7.0,no_key_event,0
2026-07-01,100044,google,cpc,Pesquisa_Clareamento,mobile,1,1,3,74.0,no_key_event,0
2026-07-01,100032,instagram,social,(not set),mobile,1,0,1,24.0,no_key_event,0
2026-07-01,100045,google,cpc,Pesquisa_Ortodontia,mobile,1,0,4,3.0,no_key_event,0
2026-07-01,100047,instagram,social,(not set),mobile,1,0,1,36.0,no_key_event,0
2026-07-01,100049,google,organic,(not set),mobile,1,0,1,41.0,no_key_event,0
2026-07-01,100050,instagram,social,(not set),mobile,1,1,1,114.0,no_key_event,0
2026-07-01,100051,instagram,social,(not set),mobile,1,0,4,30.0,no_key_event,0
2026-07-01,100052,instagram,social,(not set),mobile,1,1,1,81.0,no_key_event,0
2026-07-01,100053,google,organic,(not set),mobile,1,1,2,89.0,no_key_event,0
2026-07-01,100054,google,organic,(not set),mobile,1,1,2,106.0,click_whatsapp,1
2026-07-01,100055,google,organic,(not set),desktop,1,1,2,34.0,click_whatsapp,1
2026-07-01,100056,instagram,social,(not set),mobile,1,0,2,59.0,no_key_event,0
2026-07-01,100057,google,organic,(not set),mobile,1,1,4,39.0,no_key_event,0
2026-07-01,100058,(direct),(none),(not set),mobile,1,1,1,77.0,click_whatsapp,1
2026-07-01,100059,google,cpc,Pesquisa_Clareamento,mobile,1,1,2,54.0,no_key_event,0
2026-07-01,100046,google,cpc,Pesquisa_Ortodontia,mobile,1,1,1,52.0,no_key_event,0
2026-07-01,100031,google,cpc,Remarketing_Site,desktop,1,1,1,72.0,no_key_event,0
2026-07-01,100048,instagram,social,(not set),mobile,1,0,4,3.0,no_key_event,0
2026-07-01,100029,facebook,cpc,FB_Promo_Avaliacao,mobile,1,0,1,3.0,no_key_event,0
2026-07-01,100030,google,organic,(not set),desktop,1,1,1,72.0,no_key_event,0
2026-07-01,100002,(direct),(none),(not set),mobile,1,1,2,58.0,no_key_event,0
2026-07-01,100003,google,cpc,Remarketing_Site,mobile,1,1,2,83.0,click_whatsapp,1
2026-07-01,100004,google,organic,(not set),mobile,1,0,1,25.0,no_key_event,0
2026-07-01,100005,google,cpc,Pesquisa_Implantes,tablet,1,0,1,3.0,no_key_event,0
2026-07-01,100006,google,cpc,Remarketing_Site,desktop,1,1,2,51.0,click_whatsapp,1
2026-07-01,100007,instagram,social,(not set),mobile,1,1,3,50.0,no_key_event,0
2026-07-01,100009,google,cpc,Pesquisa_Implantes,mobile,1,0,4,24.0,no_key_event,0
2026-07-01,100010,google,organic,(not set),mobile,1,1,4,48.0,no_key_event,0
2026-07-01,100011,google,cpc,Pesquisa_Implantes,mobile,1,1,1,57.0,no_key_event,0
2026-07-01,100012,instagram,social,(not set),mobile,1,1,3,32.0,no_key_event,0
2026-07-01,100013,google,cpc,Remarketing_Site,mobile,1,0,2,47.0,no_key_event,0
2026-07-01,100014,google,organic,(not set),mobile,1,0,4,3.0,no_key_event,0
2026-07-01,100008,google,cpc,Pesquisa_Clareamento,desktop,1,1,2,88.0,no_key_event,0
2026-07-01,100016,instagram,social,(not set),mobile,1,0,2,56.0,no_key_event,0
2026-07-01,100028,facebook,cpc,FB_Implantes_Video,mobile,1,0,1,40.0,no_key_event,0
2026-07-01,100015,google,cpc,Pesquisa_Clareamento,mobile,1,1,1,48.0,click_whatsapp,1
